Year_Type,Year,Employee_Identifier,Salaries,Overtime,Other_Salaries,Total_Salary,Retirement,Health/Dental,Other_Benefits,Total_Benefits,Total_Compensation
Fiscal,2014,36431,231272.1,0,19193.42,250465.52,50754.06,12512.55,9250.39,72517,322982.52
Calendar,2014,21601,14520.73,0,0,14520.73,0,5184.32,1124.2,6308.52,20829.25
Fiscal,2016,460,5516.9,0,98.35,5615.25,1234.79,1733.36,461.55,3429.7,9044.95
Calendar,2014,29020,14749.01,0,0,14749.01,3144.5,2008.45,1126.24,6279.19,21028.2
Fiscal,2013,9859,132004.01,0,0,132004.01,23378.01,12801.79,11847.12,48026.92,180030.93
Fiscal,2015,10228,44714.55,11119.9,1160,56994.45,11835.62,9854.36,4370.22,26060.2,83054.65
Calendar,2014,48467,104451.01,5566.17,170,110187.18,22594.43,13054.94,8638.03,44287.4,154474.58
Fiscal,2015,6459,3068,14.38,0,3082.38,0,957.9,238.64,1196.54,4278.92
Fiscal,2015,52941,67290.28,8206.11,6804.31,82300.7,16315.63,9514.73,514.31,26344.67,108645.37
Calendar,2015,36532,78894.25,0,0,78894.25,15989.56,10517.11,6472.02,32978.69,111872.94
Fiscal,2015,4670,2630.69,0,0,2630.69,0,0,207.82,207.82,2838.51
Fiscal,2013,16042,62902.8,0,0,62902.8,11454.59,12777.17,4935.6,29167.36,92070.16
Fiscal,2015,510,12723.41,0,0,12723.41,0,3086.22,985.05,4071.27,16794.68
Fiscal,2016,36223,28854.46,0,405.28,29259.74,5445.22,5002.93,2608.74,13056.89,42316.63
Fiscal,2015,53633,54179.42,46.73,1725,55951.15,14371.72,12463.02,4496.1,31330.84,87281.99
Calendar,2015,25455,12468.03,0,0,12468.03,0,4632.31,966.7,5599.01,18067.04
Calendar,2015,49774,6054.48,0,144.7,6199.18,0,3055.35,480.55,3535.9,9735.08
Fiscal,2014,34963,0,0,31159.39,31159.39,0,0,0,0,31159.39
Fiscal,2016,8119,49578.36,0,0,49578.36,10902.28,13068.8,3985.52,27956.6,77534.96
Fiscal,2013,51081,71673.5,0,0,71673.5,12693.44,7139.46,10943.39,30776.29,102449.79
Fiscal,2013,35046,16296.88,72.75,11.64,16381.27,2886.19,2154.14,1202.28,6242.61,22623.88
Fiscal,2013,23503,50349.1,2398.27,200,52947.37,9168.62,10482.33,4217.09,23868.04,76815.41
Calendar,2014,938,200,0,0,200,0,0,15.8,15.8,215.8
Fiscal,2016,37804,122276.52,0,0,122276.52,22168.72,13068.8,10030.56,45268.08,167544.6
Calendar,2014,19936,5905.25,0,0,5905.25,0,1876.65,457.18,2333.83,8239.08
Calendar,2013,3324,3294.6,0,109.8,3404.4,92.34,0,1045.89,1138.23,4542.63
