Year_Type,Year,Employee_Identifier,Salaries,Overtime,Other_Salaries,Total_Salary,Retirement,Health/Dental,Other_Benefits,Total_Benefits,Total_Compensation
Fiscal,2014,15477,106775.12,0,0,106775.12,22764.44,12512.55,8662.98,43939.97,150715.09
Calendar,2013,25829,1121,599.04,70.94,1790.98,229.39,119.62,30.2,379.21,2170.19
Calendar,2015,9233,440.8,0,0,440.8,0,191.14,34.12,225.26,666.06
Fiscal,2013,39565,80080,6578.54,0,86658.54,14582.61,12801.79,7221.4,34605.8,121264.34
Fiscal,2013,3779,75998,6083.51,550,82631.51,13939.44,12801.79,6888.09,33629.32,116260.83
Fiscal,2016,47711,1698.05,0,76.8,1774.85,0,124.71,90.54,215.25,1990.1
Calendar,2015,8449,108608.03,46805.78,12603.93,168017.74,22452.35,12370.45,2865.19,37687.99,205705.73
Fiscal,2014,37949,25501.7,692.7,364.65,26559.05,5154.08,5321.43,2128.6,12604.11,39163.16
Fiscal,2016,22542,88785.12,665.05,0,89450.17,16522.91,13068.83,7181.92,36773.66,126223.83
Fiscal,2015,13635,73379.3,2370.56,184.8,75934.66,16500.37,12500.56,6098.11,35099.04,111033.7
Fiscal,2014,24399,87562.83,0,0,87562.83,18668.43,12512.55,7493.37,38674.35,126237.18
Fiscal,2014,18018,85883.86,1936.56,499.2,88319.62,18310.45,11906.04,7097.1,37313.59,125633.21
Fiscal,2016,21995,40925.21,0,356.73,41281.94,7682.56,8470.39,3320.44,19473.39,60755.33
Calendar,2013,28707,11285.42,0,1463.68,12749.1,2579.84,1148.29,210.9,3939.03,16688.13
Fiscal,2015,5075,55659.4,0,6103.82,61763.22,15213.59,12548.45,4932.94,32694.98,94458.2
Calendar,2015,17370,77071.01,11163.8,984,89218.81,16083.41,12424.5,7060.71,35568.62,124787.43
Calendar,2015,9484,66102,10446.54,1764.57,78313.11,13961.29,12424.5,7315.34,33701.13,112014.24
Fiscal,2015,41302,6735.91,0,61.31,6797.22,0,2484.54,526.24,3010.78,9808
Fiscal,2015,48519,4078.6,397.5,194.4,4670.5,546.18,957.92,361.58,1865.68,6536.18
Calendar,2015,37411,2250.32,0,0,2250.32,580.58,567.47,190.09,1338.14,3588.46
Fiscal,2014,15175,44545.33,57.01,6865.45,51467.79,9105.27,4015.04,870.12,13990.43,65458.22
Fiscal,2014,42913,36078.71,0,0,36078.71,7511.59,3465.52,2971.03,13948.14,50026.85
Fiscal,2016,11205,70734.97,13096.09,1996.15,85827.21,13179.81,13106.23,6878.24,33164.28,118991.49
Calendar,2014,52454,98167.22,10456.24,12076.13,120699.59,23270.77,13054.94,9657.64,45983.35,166682.94
Calendar,2014,26239,130961.05,72289.84,17121.07,220371.96,30730.01,15967.2,3565.04,50262.25,270634.21
Fiscal,2016,47514,50611.07,4993.6,3563.35,59168.02,9418.73,9215.07,4840.86,23474.66,82642.68
Fiscal,2013,20333,82940,12577.02,11553.46,107070.48,16711.55,12801.79,8852.86,38366.2,145436.68
Fiscal,2015,28034,70239.66,1833.56,0,72073.22,5200.34,8465.41,5651.58,19317.33,91390.55
Fiscal,2014,42606,24428.2,0,0,24428.2,5208.09,4122.91,1961.95,11292.95,35721.15
Fiscal,2014,46914,70910.6,210.45,9145.33,80266.38,16169.81,12512.55,6210.48,34892.84,115159.22
Calendar,2014,22356,25526.58,0,948.79,26475.37,0,1993.83,2049.72,4043.55,30518.92
Fiscal,2016,48157,54726.4,1922.22,0,56648.62,3508.16,10325.36,4394.98,18228.5,74877.12
Fiscal,2013,46088,80907.2,0,0,80907.2,14628,12801.79,1346.89,28776.68,109683.88
Fiscal,2014,43156,90555.92,2787.16,6839.89,100182.97,21686.81,6305.71,7649.81,35642.33,135825.3
Fiscal,2013,30018,91572,8961.22,14232.97,114766.19,19267.1,12801.79,9002.96,41071.85,155838.04
Calendar,2013,52611,62028.4,3658.86,1269.78,66957.04,11889.21,9365.73,5527.93,26782.87,93739.91
Calendar,2014,20421,9090,0,0,9090,2256.15,2510.57,737.72,5504.44,14594.44
Fiscal,2016,24821,2829.67,0,2.56,2832.23,0,1381.09,219.97,1601.06,4433.29
Fiscal,2014,229,28008.41,0,395.26,28403.67,7049.82,7316.96,2337.41,16704.19,45107.86
Fiscal,2013,4041,61646,0,0,61646,11225.76,12801.79,5161.18,29188.73,90834.73
Fiscal,2013,7663,30910.55,0,0,30910.55,1121.63,8044.22,2358.14,11523.99,42434.54
Fiscal,2016,25106,105842.34,42728.46,16796.62,165367.42,21016.41,15862.14,2624.2,39502.75,204870.17
Fiscal,2016,31000,22253.7,0,0,22253.7,4141.38,4439.4,1697.43,10278.21,32531.91
Fiscal,2013,50719,3049.5,0,68.4,3117.9,0,987.82,556.87,1544.69,4662.59
Fiscal,2015,41343,7397.18,0,0,7397.18,0,3214.95,595.09,3810.04,11207.22
Calendar,2014,35451,19590.37,0,0,19590.37,4395.4,4828.13,1559.97,10783.5,30373.87
Fiscal,2015,39965,276342.28,6759.31,126791.03,409892.62,60629.45,12500.56,14482.37,87612.38,497505
Calendar,2013,36011,0,0,5288.21,5288.21,0,0,404.55,404.55,5692.76
Calendar,2013,29749,45380.7,0,2155.13,47535.83,10724.92,12918.24,3727.99,27371.15,74906.98
Calendar,2013,35287,180051.01,0,1919.95,181970.96,34873.49,12918.24,10602.62,58394.35,240365.31
Calendar,2015,31646,25460.08,6696.63,2759.3,34916.01,5710.7,3345.06,2824.06,11879.82,46795.83
Fiscal,2016,24009,1125.6,0,0,1125.6,209.47,149.64,83.73,442.84,1568.44
Calendar,2013,43525,14334.47,0,2566.15,16900.62,0,0,1335.15,1335.15,18235.77
Calendar,2013,450,2396.46,0,40.93,2437.39,0,980.88,192.47,1173.35,3610.74
Fiscal,2015,10333,0,0,828.98,828.98,0,0,63.41,63.41,892.39
Calendar,2013,10858,65448,0,0,65448,12856.68,12918.24,4830.05,30604.97,96052.97
Fiscal,2013,22547,102019.12,0,0,102019.12,18577.71,12801.79,8246.54,39626.04,141645.16
Fiscal,2016,46630,10860.02,0,262.89,11122.91,0,3691.18,863.36,4554.54,15677.45
Calendar,2015,42707,125859.02,0,0,125859.02,24331.21,8792.73,17174.67,50298.61,176157.63
Fiscal,2013,32409,46239.74,0,0,46239.74,9576.24,12801.79,3799.93,26177.96,72417.7
Fiscal,2013,44339,63918.9,6439.15,10158.03,80516.08,12964.97,12851.02,6182.63,31998.62,112514.7
Fiscal,2015,37835,111284.38,0,0,111284.38,24415.77,12500.56,17015,53931.33,165215.71
Fiscal,2016,41572,87525.32,4623.62,377.44,92526.38,16288.53,13068.81,7567.52,36924.86,129451.24
Fiscal,2016,7061,57922.3,0,3507.84,61430.14,11432.16,13068.8,5029.67,29530.63,90960.77
Calendar,2013,10109,73062.11,0,648,73710.11,14479.64,12918.24,6086.54,33484.42,107194.53
Calendar,2015,16046,2868,0,0,2868,0,955.73,221.22,1176.95,4044.95
Fiscal,2013,37547,34923.2,947.84,3024.05,38895.09,0,0,3109.53,3109.53,42004.62
Fiscal,2016,7158,5040.26,0,0,5040.26,0,1247.02,391.21,1638.23,6678.49
Fiscal,2016,37956,24880.4,0,1452.99,26333.39,0,5100.32,2043.89,7144.21,33477.6
Calendar,2014,27722,85068.18,20483.13,6379.01,111930.32,19696.52,12628.14,8898.52,41223.18,153153.5
Fiscal,2013,14070,27741.9,0,0,27741.9,5051.76,4579.09,2235.46,11866.31,39608.21
Calendar,2014,36665,331.6,0,0,331.6,0,100.42,25.67,126.09,457.69
Fiscal,2013,2014,75452.04,0,0,75452.04,13739.75,12801.79,6203.81,32745.35,108197.39
Fiscal,2013,50341,2021,0,0,2021,357.92,246.19,156.47,760.58,2781.58
Fiscal,2016,35545,22977.27,1370.3,1013.39,25360.96,0,2558.9,2051.02,4609.92,29970.88
Calendar,2014,19685,9749.11,0,1204.47,10953.58,2419.73,3044.07,916.61,6380.41,17333.99
Fiscal,2015,51030,66548.12,0,626.4,67174.52,15067.29,12500.56,5497.53,33065.38,100239.9
Fiscal,2014,6852,60920.4,2563.22,2363.74,65847.36,7892.02,9899.77,5425.9,23217.69,89065.05
Fiscal,2013,27023,66337.65,11049.24,5402.73,82789.62,11818.23,6154.71,1341.22,19314.16,102103.78
Fiscal,2015,38163,96472.38,10121.9,9149.99,115744.27,21824.41,12572.39,1923.36,36320.16,152064.43
Fiscal,2013,1129,3031,1429.12,81.14,4541.26,550.32,246.19,74.33,870.84,5412.1
Calendar,2014,33594,2625.93,0,2.58,2628.51,0,1534.6,203.5,1738.1,4366.61
Calendar,2014,47667,90185.04,0,0,90185.04,19709.53,13054.94,7447.39,40211.86,130396.9
Calendar,2014,48780,79339.9,0,144,79483.9,17391.6,11730.74,6654.81,35777.15,115261.05
Fiscal,2015,28014,1110.2,0,88.82,1199.02,0,278.39,92.83,371.22,1570.24
Calendar,2015,35293,59171.27,5873.39,3154.22,68198.88,16656.82,13551.49,5203.59,35411.9,103610.78
Fiscal,2015,15466,124410,1584.1,18125.44,144119.54,29319.92,11257.08,9731.91,50308.91,194428.45
Calendar,2014,4498,91961.03,12430.17,3787.91,108179.11,20925.09,13054.94,8416.14,42396.17,150575.28
Calendar,2015,39652,95370.73,18054.18,10357.13,123782.04,25722.37,12119.74,1848.56,39690.67,163472.71
Calendar,2015,48133,48125.24,4015.27,2004.15,54144.66,11855.01,11085.71,4132.55,27073.27,81217.93
Fiscal,2015,18696,89702.3,0,0,89702.3,19680.68,0,7086.48,26767.16,116469.46
Calendar,2015,45458,71983.54,0,0,71983.54,14808.48,12406.58,5543.2,32758.26,104741.8
Fiscal,2013,138,17519.22,0,0,17519.22,0,0,1384.04,1384.04,18903.26
Calendar,2013,16468,40062.78,132.08,3025.57,43220.43,6354.98,10884.82,3440.77,20680.57,63901
Calendar,2014,187,4299,0,19582.48,23881.48,895.05,502.11,1870.48,3267.64,27149.12
Fiscal,2015,27092,56405.54,0,1260,57665.54,12931.09,9914.23,5020,27865.32,85530.86
Calendar,2014,10931,35703.57,0,0,35703.57,9025.43,11366.58,2802.12,23194.13,58897.7
Fiscal,2014,41444,7691.6,0,120,7811.6,1938.83,1965.57,618.48,4522.88,12334.48
Fiscal,2015,8658,66012.91,0,1040,67052.91,15040.01,12500.56,5201.38,32741.95,99794.86
Calendar,2015,30814,17127.5,0,220,17347.5,3228.38,2389.33,1337.78,6955.49,24302.99
Calendar,2015,6701,73898.87,254.27,65.33,74218.47,15241.8,12292.91,6096.04,33630.75,107849.22
Fiscal,2014,26377,78120.68,0,4431.48,82552.16,17600.1,10465.48,6025.13,34090.71,116642.87
Fiscal,2013,50367,82030.01,0,624,82654.01,15051.38,12801.79,6679.57,34532.74,117186.75
Calendar,2014,34665,230,0,0,230,0,14.44,17.8,32.24,262.24
Fiscal,2016,19545,70957.93,3956.95,2264.85,77179.73,13322.23,13068.8,6337.82,32728.85,109908.58
Fiscal,2015,5213,76863.1,0,0,76863.1,17240.39,11351.08,6296.19,34887.66,111750.76
Fiscal,2015,10442,142380.18,0,2150,144530.18,31709.88,12403.08,11102.79,55215.75,199745.93
Calendar,2014,51715,4564,0,10483.51,15047.51,950.22,502.11,1195.41,2647.74,17695.25
Fiscal,2015,19829,104057.24,3881.22,21053.96,128992.42,14449.24,11172.08,10278.72,35900.04,164892.46
Fiscal,2014,19593,183503.7,0,15819.57,199323.27,35940.9,12512.55,6973.96,55427.41,254750.68
Calendar,2014,43078,16726.6,0,2.81,16729.41,0,4914.43,1295.2,6209.63,22939.04
Fiscal,2013,7080,56170.01,1174.13,2594.4,59938.54,10228.49,12752.55,5548.91,28529.95,88468.49
Fiscal,2015,4795,28033,0,460,28493,7351.19,4645.8,2297.28,14294.27,42787.27
Calendar,2014,21636,53472,0,5068.92,58540.92,13756.99,13054.94,4813.39,31625.32,90166.24
Calendar,2015,11768,143674.46,0,250,143924.46,26509.31,12337.71,6239.29,45086.31,189010.77
Fiscal,2016,10741,57490.1,0,5581.92,63072.02,11269.11,12969.04,4851.32,29089.47,92161.49
Calendar,2015,46122,110041.06,0,0,110041.06,22139.91,12424.5,9038.95,43603.36,153644.42
Fiscal,2015,5903,88256.74,0,1000,89256.74,19582.91,9962.12,7127.86,36672.89,125929.63
Fiscal,2016,12090,188790,0,5275.8,194065.8,35184.18,13062.57,11384.57,59631.32,253697.12
Calendar,2013,26705,73319.75,1513.05,20,74852.8,14394.31,12152.41,6190.4,32737.12,107589.92
Fiscal,2013,22906,103512.02,0,937.5,104449.52,18497.98,12752.56,8414.51,39665.05,144114.57
Calendar,2014,3822,74412.04,0,624,75036.04,16394.97,13054.94,6063.32,35513.23,110549.27
Fiscal,2016,37763,86687.7,12595.58,4659.75,103943.03,16487.63,12021.31,8212.61,36721.55,140664.58
Fiscal,2013,12640,61948.51,0,9.52,61958.03,11282.48,12801.79,5678.09,29762.36,91720.39
Calendar,2014,49990,14116.91,0,0,14116.91,0,3615.23,1092.93,4708.16,18825.07
Fiscal,2015,11622,64764.54,0,0,64764.54,14526.74,8794.69,5210.14,28531.57,93296.11
Calendar,2014,22692,17224.3,0,0,17224.3,0,1404.85,1333.51,2738.36,19962.66
Calendar,2013,5889,101195.01,439.3,9959.93,111594.24,22839.69,11020.16,8856.99,42716.84,154311.08
Fiscal,2013,11172,117144.51,1765.58,19471.63,138381.72,20892.16,12863.33,2298.85,36054.34,174436.06
Fiscal,2016,6267,62764.05,0,603.01,63367.06,11792.52,12532.71,5269.23,29594.46,92961.52
Fiscal,2015,38747,139813.05,11085.97,10208.84,161107.86,30179.83,12452.66,2685.47,45317.96,206425.82
Fiscal,2014,14047,44132.72,3165.16,1053.11,48350.99,12979.33,8958.99,3807.87,25746.19,74097.18
Fiscal,2014,7550,60365.75,2070.25,1117.16,63553.16,13108.15,12353.75,5007.41,30469.31,94022.47
Fiscal,2015,3108,28186.48,0,3149.58,31336.06,6820.28,3029.35,2668.86,12518.49,43854.55
Fiscal,2014,4898,59947.6,12306.11,2265.51,74519.22,12804.3,12395.99,5967.46,31167.75,105686.97
Fiscal,2014,36624,114192.12,2850.65,0,117042.77,23774.8,12518.54,9249.65,45542.99,162585.76
Calendar,2015,41359,9826.27,53.89,39.58,9919.74,0,3255.45,769.58,4025.03,13944.77
Calendar,2014,15991,41080.6,1013.64,614.71,42708.95,9043.22,8717.93,3533.25,21294.4,64003.35
Calendar,2015,37087,8565,0,0,8565,1593.96,1433.6,688.42,3715.98,12280.98
Fiscal,2015,21872,48467.08,7854.38,4403.06,60724.52,11775.01,9410.68,5017.3,26202.99,86927.51
Calendar,2014,52819,52311,0,0,52311,11482.11,11046.48,4233.86,26762.45,79073.45
Fiscal,2015,46478,14292,0,403.1,14695.1,3687.31,3352.65,1185.28,8225.24,22920.34
Fiscal,2015,45981,83392.8,27614.5,13046.27,124053.57,20442.91,12452.66,9842.89,42738.46,166792.03
Fiscal,2014,31740,56504,1002.54,9418.46,66925,13277.43,8773.17,5452.71,27503.31,94428.31
Fiscal,2015,43807,64422.11,13270.42,637.19,78329.72,19307.58,12903.66,6109.43,38320.67,116650.39
Calendar,2013,49252,35765.43,0,0,35765.43,6819.02,7161.2,3064.2,17044.42,52809.85
Fiscal,2014,307,85127.1,955.44,5510.02,91592.56,0,7422.36,7073.96,14496.32,106088.88
Calendar,2013,3423,77961.59,34731.06,3987.97,116680.62,14405.57,11681.74,2207.04,28294.35,144974.97
Calendar,2013,8979,31528.04,2195.71,0,33723.75,6616.75,0,2759.59,9376.34,43100.09
Fiscal,2016,20070,59683.52,8818.19,909.66,69411.37,14620.35,11995.51,5362.07,31977.93,101389.3
Fiscal,2013,16163,91338,14823.47,3223.36,109384.83,16759.57,12801.79,9083,38644.36,148029.19
Fiscal,2015,48722,0,0,521,521,0,0,39.85,39.85,560.85
Calendar,2014,1513,42848.64,0,2356.67,45205.31,0,0,3593.83,3593.83,48799.14
Fiscal,2015,28934,26016.02,0,361.79,26377.81,5835.39,3764.25,2194.84,11794.48,38172.29
Calendar,2013,48733,63720,1320.27,0,65040.27,12520.9,12918.24,5366.45,30805.59,95845.86
Calendar,2014,22769,13360.38,0,0,13360.38,0,3444.17,1034.36,4478.53,17838.91
Fiscal,2013,27498,3605.25,0,0,3605.25,0,1929.5,279.12,2208.62,5813.87
Fiscal,2015,20778,50267.32,0,1395,51662.32,11028.68,3753.59,4070.52,18852.79,70515.11
Calendar,2014,22838,11037,0,0,11037,2475.6,1506.34,959.86,4941.8,15978.8
Fiscal,2016,26938,38604.66,12321.31,2504.54,53430.51,8699.47,9488.85,4377.68,22566,75996.51
Fiscal,2014,22280,119595.97,43803.36,8027.15,171426.48,25792.5,14000.33,2757.36,42550.19,213976.67
Fiscal,2016,1224,67719.4,13257.09,2277.1,83253.59,12877.14,13068.8,6590.82,32536.76,115790.35
Calendar,2013,33199,93727.52,0,648,94375.52,18515.25,12918.24,7780.07,39213.56,133589.08
Calendar,2015,13435,74356.66,0,267.38,74624.04,15458.44,11290.53,5972.86,32721.83,107345.87
Calendar,2015,44750,139374.13,6975.63,13135.99,159485.75,28070.03,12424.51,2729.15,43223.69,202709.44
Calendar,2013,2098,4726.4,117.7,0,4844.1,0,1531.05,375.03,1906.08,6750.18
Calendar,2014,20109,54543.7,2573.73,4835.89,61953.32,13693.53,13054.94,4984.52,31732.99,93686.31
Fiscal,2013,17515,2852.59,0,14.88,2867.47,0,1695.62,223.7,1919.32,4786.79
Fiscal,2014,8106,85389.83,30842.31,10421.79,126653.93,19585.67,12450.64,9984.06,42020.37,168674.3
Fiscal,2016,22126,135817.36,2414.28,13939.56,152171.2,25569.47,11617.28,10567.78,47754.53,199925.73
Fiscal,2013,2128,81276.01,3868.43,2144,87288.44,15173.61,12801.8,7286.48,35261.89,122550.33
Fiscal,2014,36895,5821.5,0,0,5821.5,1241.14,719.12,440.37,2400.63,8222.13
Calendar,2013,34800,74813.26,0,0,74813.26,14697.91,12918.24,6187.02,33803.17,108616.43
Calendar,2014,37369,28196.82,0,0,28196.82,0,6527.46,2183,8710.46,36907.28
Fiscal,2013,14949,28926,0,0,28926,5990.58,8862.78,2358.44,17211.8,46137.8
Fiscal,2016,50021,122276.55,0,0,122276.55,22168.72,13068.81,10054.03,45291.56,167568.11
Fiscal,2016,2644,15832.6,172.6,0,16005.2,2946.45,2144.87,1290.79,6382.11,22387.31
Calendar,2015,17180,67284.74,6829.67,1278.94,75393.35,18772.47,13257.3,5663.7,37693.47,113086.82
Fiscal,2016,24016,50064.31,1801.12,12287.67,64153.1,10024.89,6871.1,5249.11,22145.1,86298.2
Calendar,2014,22916,22356.32,2086.75,706.99,25150.06,6433.17,6993.61,1936.57,15363.35,40513.41
Fiscal,2013,8734,77922.03,0,0,77922.03,14189.54,12801.83,6395.64,33387.01,111309.04
Fiscal,2014,12035,9499.98,0,0,9499.98,0,12512.55,137.75,12650.3,22150.28
Calendar,2013,18427,86172,9358.05,1211.26,96741.31,15410.62,12918.24,1291.31,29620.17,126361.48
Fiscal,2016,44750,143521.81,10077.74,13510.73,167110.28,25985.1,13156.11,2914.76,42055.97,209166.25
Calendar,2013,3519,123471.02,10657.21,3708.67,137836.9,23519.56,12918.24,2342.2,38780,176616.9
Calendar,2015,20142,14911,176.81,0,15087.81,3278.93,3822.92,1215.94,8317.79,23405.6
Fiscal,2014,35750,62957.7,2019.85,5285.43,70262.98,14549.43,12512.55,5543.47,32605.45,102868.43
Fiscal,2013,31895,101049.88,2822.58,36705.45,140577.91,24144.66,12437,10865.46,47447.12,188025.03
Fiscal,2016,37575,59905.32,0,12750.85,72656.17,11250.28,11372.86,5940.28,28563.42,101219.59
Fiscal,2013,41188,91200.82,1833.06,9639.88,102673.76,19744.65,12801.79,1730.43,34276.87,136950.63
Fiscal,2016,49504,44081.1,5470.4,702.56,50254.06,10554.91,13134.22,3573.92,27263.05,77517.11
Fiscal,2013,12790,66111.3,18024.31,8991.35,93126.96,13211.27,12851.02,7169.78,33232.07,126359.03
Fiscal,2014,49223,93249.32,831.33,1249.25,95329.9,20120.41,12512.56,7811.24,40444.21,135774.11
Calendar,2015,20498,97793.01,6539.62,16123.98,120456.61,22122.89,12424.5,9653,44200.39,164657
Fiscal,2016,48503,129137.62,0,0,129137.62,23412.69,12894.21,10074.95,46381.85,175519.47
Calendar,2014,40253,86633.72,1307.44,0,87941.16,18940.67,13054.94,7220.07,39215.68,127156.84
Calendar,2014,7798,112164.19,14495.71,1548.11,128208.01,23574.61,13054.94,2141.31,38770.86,166978.87
Calendar,2015,8756,21082,0,0,21082,3923.37,2628.26,1614.28,8165.91,29247.91
Fiscal,2016,6381,57922.32,0,1996.65,59918.97,10779.27,13068.8,4812.16,28660.23,88579.2
Calendar,2013,23010,68336,0,2453.83,70789.83,15877.3,7655.26,5621.91,29154.47,99944.3
Calendar,2014,48684,5601.21,0,0,5601.21,0,520.75,144.67,665.42,6266.63
Fiscal,2013,30282,56758,11808.88,3507.21,72074.09,10754.74,12801.78,5482.01,29038.53,101112.62
Fiscal,2014,50596,89240.53,0,0,89240.53,19026.06,12512.55,7368.62,38907.23,128147.76
Calendar,2015,9787,56531.01,0,1387.84,57918.85,11956.67,12424.5,5304.15,29685.32,87604.17
Calendar,2013,24247,106527.44,0,994.6,107522.04,18881.06,10267.62,390.82,29539.5,137061.54
Calendar,2015,49712,64309.92,3510.7,3386.26,71206.88,18509.89,12669.89,5509.47,36689.25,107896.13
Calendar,2015,15109,6191.87,0,0,6191.87,1385.19,2685.01,510.48,4580.68,10772.55
Calendar,2014,45187,73471.01,1689.2,0,75160.21,16056.64,13054.94,6129.54,35241.12,110401.33
Fiscal,2013,19488,71552,0,1270.25,72822.25,13261.01,12801.79,6096.28,32159.08,104981.33
Calendar,2013,14008,104642.5,39709.69,16468.66,160820.85,20923.52,12870.4,10066.27,43860.19,204681.04
Fiscal,2016,41788,68831.4,0,348.55,69179.95,12874.4,13068.81,5408.73,31351.94,100531.89
Fiscal,2016,45028,60798.38,1129.88,3371.03,65299.29,11521.4,10210.76,5413.66,27145.82,92445.11
Fiscal,2014,14548,32890.4,0,1973.42,34863.82,5957.54,3643.5,564.36,10165.4,45029.22
Calendar,2013,46188,52345.31,0,0,52345.31,0,6713.3,4118.75,10832.05,63177.36
Calendar,2014,5802,116315.58,0,1629.38,117944.96,30898.9,8033.81,-8783.18,30149.53,148094.49
Calendar,2014,2568,75314.56,8118.8,6882.26,90315.62,17876.32,13117.71,7156.38,38150.41,128466.03
Calendar,2015,39899,100053.94,5411.59,0,105465.53,22819.84,12424.5,1786.33,37030.67,142496.2
Fiscal,2014,9437,4465.24,0,180.94,4646.18,715.43,0,1889.53,2604.96,7251.14
Calendar,2015,12715,7345.94,0,0,7345.94,0,1672.53,569.53,2242.06,9588
Calendar,2013,42520,9268.04,0,306.22,9574.26,0,1604.32,741.24,2345.56,11919.82
Fiscal,2014,23982,113035.51,0,0,113035.51,23533.98,12512.55,9106.14,45152.67,158188.18
Fiscal,2016,52744,60496.72,0,0,60496.72,11258.41,13068.81,5282.3,29609.52,90106.24
Fiscal,2016,47578,8660.64,6470.19,528.93,15659.76,1539.04,935.26,263.26,2737.56,18397.32
Calendar,2013,49376,2786,0,0,2786,593.98,478.45,219.91,1292.34,4078.34
Calendar,2013,1666,55899.5,2214,1110.6,59224.1,11462.06,9090.62,4756.42,25309.1,84533.2
Calendar,2014,9522,60537.83,253.15,2160.27,62951.25,13392.76,13004.72,5183.77,31581.25,94532.5
Fiscal,2016,45473,117330.76,2787.65,2222.96,122341.37,20850.26,12670.63,2034.05,35554.94,157896.31
Fiscal,2013,35415,28608.3,0,3779.97,32388.27,0,2806.67,2721.57,5528.24,37916.51
Calendar,2015,42199,80049.8,6065.05,3597.23,89712.08,17230.72,12376.72,7387.36,36994.8,126706.88
Fiscal,2015,11692,115745.94,0,0,115745.94,25394.68,12500.56,9522.41,47417.65,163163.59
Calendar,2014,36620,61036,0,1870.7,62906.7,13747.2,13054.94,5196.04,31998.18,94904.88
Fiscal,2016,31334,83098.43,0,1440,84538.43,15732.58,13068.8,6849.29,35650.67,120189.1
Fiscal,2015,5263,81838.09,32965.74,9225.78,124029.61,19259.89,10256,9425.28,38941.17,162970.78
Calendar,2013,40910,121068,26779.66,3660.04,151507.7,23065.02,12918.24,2556.14,38539.4,190047.1
Calendar,2014,38689,59358.63,0,513.67,59872.3,13084.45,11766.76,4571.88,29423.09,89295.39
Fiscal,2015,9307,115745.92,0,3719.83,119465.75,26210.79,12500.57,9767.29,48478.65,167944.4
Calendar,2014,18331,12528.12,0,460.32,12988.44,0,5242.39,1005.57,6247.96,19236.4
Fiscal,2016,6523,55948.75,3.67,242.08,56194.5,10171.69,8916.22,3964.01,23051.92,79246.42
Calendar,2013,13677,132401.52,0,0,132401.52,25364.45,12918.51,9715.9,47998.86,180400.38
Calendar,2013,12974,68391,6246.65,2427.4,77065.05,13558.06,12918.24,6235.35,32711.65,109776.7
Calendar,2013,50749,58856.25,2940.73,4702.64,66499.62,12546.6,12168.27,5476.98,30191.85,96691.47
Calendar,2014,30216,94984.01,0,0,94984.01,20758.05,13054.94,7563.24,41376.23,136360.24
Fiscal,2015,35130,39742.25,0,2948.26,42690.51,9528.89,8125.06,3513.83,21167.78,63858.29
Fiscal,2016,1353,98348.2,34.68,0,98382.88,18302.61,13068.81,8066.15,39437.57,137820.45
Fiscal,2013,31113,65748.71,3492.03,3870.13,73110.87,17821.86,13708.13,5661.53,37191.52,110302.39
Calendar,2014,34997,34044.09,0,3711.94,37756.03,8693.11,8173.65,3054.23,19920.99,57677.02
Fiscal,2015,22065,180678.4,0,31956.83,212635.23,43773.91,12500.56,11638.64,67913.11,280548.34
Fiscal,2014,17016,60797,7972.42,1292.8,70062.22,17807.83,12341.88,5482.18,35631.89,105694.11
Calendar,2013,38126,111366.18,8577.96,12614.6,132558.74,21225.1,12918.24,2154.98,36298.32,168857.06
Calendar,2015,25938,9463.59,0,0,9463.59,0,12424.5,137.22,12561.72,22025.31
Calendar,2013,27214,42722,4283.42,9201.62,56207.04,9329.89,9028.47,4431.62,22789.98,78997.02
Calendar,2013,49850,17333.03,0,0,17333.03,0,6022.59,1341.92,7364.51,24697.54
Calendar,2015,25474,97634.89,3742.73,10670.17,112047.79,26334.26,12408.56,1904.2,40647.02,152694.81
Calendar,2013,50440,6896.39,0,97.21,6993.6,0,3175.73,541.44,3717.17,10710.77
Fiscal,2016,50396,43782.88,0,0,43782.88,8147.99,9626.4,3662.08,21436.47,65219.35
Fiscal,2015,32184,44024.07,8591.99,3507.55,56123.61,11634.04,11966.53,4504.83,28105.4,84229.01
Fiscal,2014,10076,15302.36,0,0,15302.36,345.25,6921.45,1184.72,8451.42,23753.78
Fiscal,2013,3884,45890.3,116.88,4185.11,50192.29,9806.34,12801.79,3939.2,26547.33,76739.62
Calendar,2013,20585,89794.16,3984.81,3340.94,97119.91,17810.14,12918.24,1525.29,32253.67,129373.58
Calendar,2014,37774,54302.06,0,0,54302.06,12748.54,13054.94,4408.99,30212.47,84514.53
Calendar,2015,43429,12514.9,0,0,12514.9,0,2962.78,971.16,3933.94,16448.84
Calendar,2014,12221,110200.03,0,0,110200.03,23537.85,13055.19,9057.4,45650.44,155850.47
Calendar,2014,9645,37003.62,0,680,37683.62,9444.89,9038.03,2897.73,21380.65,59064.27
Fiscal,2015,13443,82991.72,0,2659.06,85650.78,19211.46,12500.56,7065.17,38777.19,124427.97
Calendar,2014,11004,34735.05,0,0,34735.05,8795.79,12251.55,2739.67,23787.01,58522.06
Calendar,2015,13505,78935.37,17297.58,6461.91,102694.86,16733.74,11531.91,8252.11,36517.76,139212.62
Fiscal,2014,22194,19340.57,0,0,19340.57,0,6181.37,1497.34,7678.71,27019.28
Fiscal,2013,40694,63804.01,0,624,64428.01,11732.25,12801.8,5293.05,29827.1,94255.11
